country,position,full_name,rating,salary
USA,F,LeBron James,97,37436858
USA,F,Kawhi Leonard,97,32742000
Other,G-F,Giannis Antetokounmpo,96,25842697
USA,F,Kevin Durant,96,37199000
USA,G,James Harden,96,38199000
USA,G,Stephen Curry,95,40231758
USA,F-C,Anthony Davis,94,27093019
USA,F,Paul George,93,33005556
USA,G,Damian Lillard,92,29802321
Other,C,Joel Embiid,91,27504630
Other,G,Kyrie Irving,91,31742000
USA,G,Russell Westbrook,90,38506482
USA,G,Klay Thompson,89,32742000
USA,F-C,Karl-Anthony Towns,89,27285000
USA,G,Jimmy Butler,88,32742000
Other,C,Rudy Gobert,88,25258427
USA,F,Blake Griffin,88,34449964
USA,G,Donovan Mitchell,88,3635760
USA,G,Kemba Walker,88,32742000
Other,G-F,Luka Doncic,87,7683360
USA,F-C,LaMarcus Aldridge,87,26000000
USA,G,Bradley Beal,87,27093018
USA,G,Mike Conley,87,32511623
USA,G-F,DeMar DeRozan,87,27739975
USA,G,CJ McCollum,87,27556959
USA,G,Victor Oladipo,87,21000000
Other,F-C,Kristaps Porzingis,87,27285000
USA,G,D'Angelo Russell,87,27285000
Other,F,Pascal Siakam,87,2351838
Other,F,Ben Simmons,87,8113929
USA,G,De'Aaron Fox,86,6392760
USA,G,Devin Booker,86,27285000
USA,C,DeMarcus Cousins,86,3500000
USA,C,Andre Drummond,86,27093018
USA,G,Jrue Holiday,86,26131111
Other,C,Nikola Vucevic,86,28000000
USA,G,John Wall,86,38199000
USA,F,Jayson Tatum,85,7830000
USA,G,Trae Young,85,6273000
USA,G,Eric Bledsoe,85,15625000
Other,C,Clint Capela,85,16896552
USA,F,Tobias Harris,85,32742000
Other,F-C,Al Horford,85,28000000
USA,G,Zach LaVine,85,19500000
USA,G,Kyle Lowry,85,33296296
USA,G,Chris Paul,85,38506482
USA,F,John Collins,84,2686560
Other,G,Buddy Hield,84,4861207
USA,F,Kyle Kuzma,84,1974600
Other,G,Jamal Murray,84,4444746
USA,F,Marvin Bagley,83,8556120
Other,F,Danilo Gallinari,83,22615559
USA,F,Kevin Love,83,28942830
Other,F-C,Lauri Markkanen,83,5300400
Other,C,Jusuf Nurkic,83,12000000
USA,F,Julius Randle,83,18000000
Other,C,Steven Adams,82,25842697
Other,C,Deandre Ayton,82,9562920
USA,F-C,Jaren Jackson,82,6699960
USA,G,Marcus Smart,82,12553571
USA,F-C,Myles Turner,82,18000000
Other,F,Serge Ibaka,81,23271604
USA,F,Zion Williamson,81,9757440
USA,F,Rudy Gay,81,14500000
USA,F,Aaron Gordon,81,19863636
USA,F,Brandon Ingram,81,7265485
Other,F-C,Domantas Sabonis,81,3529554
Other,C,Jonas Valanciunas,81,16000000
USA,G,Derrick Rose,80,7317074
USA,F,Derrick Favors,80,17650000
USA,F,Gordon Hayward,80,32700690
USA,G,Reggie Jackson,80,17799677
Other,C,Enes Kanter,80,4767000
USA,F,Otto Porter,80,27250576
USA,G,JJ Redick,80,13486300
USA,F,TJ Warren,80,11060000
USA,G,Ja Morant,79,8730240
USA,F-C,Bam Adebayo,79,3454080
USA,C,Jarrett Allen,79,2376840
USA,G,Lonzo Ball,79,8719320
USA,F,Harrison Barnes,79,24147727
USA,F,Jaylen Brown,79,6534829
USA,C,Willie Cauley-Stein,79,2177483
Other,G,Shai Gilgeous-Alexander,79,3952920
USA,G,Gary Harris,79,17839286
USA,G,Jeremy Lamb,79,10500000
USA,C,Brook Lopez,79,12093024
USA,C,JaVale McGee,79,4000000
USA,G,Terrence Ross,79,12500000
Other,F,Tristan Thompson,79,18539130
Other,F,Andrew Wiggins,79,27504630
USA,F,Thaddeus Young,79,12900000
Other,G,RJ Barrett,78,7839960
Other,G,Ricky Rubio,78,16200000
Other,G,Bogdan Bogdanovic,78,8529386
USA,C,Wendell Carter,78,5201400
Other,G,Evan Fournier,78,17150000
